"Var1","SAFE179","SAFE198","SAFE185","SAFE8","SAFE2","SAFE9","SAFE7","SAFE14","SAFE75","SAFE37","SAFE11","SAFE31","SAFE25","SAFE18","SAFE70","SAFE187","SAFE186","SAFE26","SAFE12","SAFE126","SAFE135","SAFE35","SAFE19","SAFE27","SAFE196","SAFE6","SAFE16","SAFE194","SAFE22","SAFE33","SAFE28","SAFE200","SAFE40","SAFE98","SAFE29","SAFE23","SAFE59","SAFE142","SAFE144","SAFE10","SAFE191","SAFE124","SAFE42","SAFE44","SAFE145","SAFE20","SAFE60","SAFE46","SAFE130","SAFE110","SAFE204","SAFE195","SAFE4","SAFE38","SAFE53","SAFE41","SAFE58","SAFE15","SAFE49","SAFE65","SAFE146","SAFE21","SAFE74","SAFE82","SAFE1","SAFE32","SAFE69","SAFE13","SAFE199","SAFE47","SAFE3","SAFE61","SAFE24","SAFE106","SAFE52","SAFE68","SAFE193","SAFE71","SAFE100","SAFE101","SAFE102","SAFE103","SAFE104","SAFE105","SAFE107","SAFE108","SAFE109","SAFE111","SAFE112","SAFE113","SAFE114","SAFE115","SAFE116","SAFE117","SAFE118","SAFE119","SAFE120","SAFE121","SAFE122","SAFE123","SAFE125","SAFE127","SAFE128","SAFE129","SAFE131","SAFE132","SAFE133","SAFE134","SAFE136","SAFE137","SAFE138","SAFE139","SAFE140","SAFE141","SAFE143","SAFE147","SAFE148","SAFE149","SAFE150","SAFE151","SAFE152","SAFE153","SAFE154","SAFE155","SAFE156","SAFE157","SAFE158","SAFE159","SAFE160","SAFE161","SAFE162","SAFE163","SAFE164","SAFE165","SAFE166","SAFE167","SAFE168","SAFE169","SAFE17","SAFE170","SAFE171","SAFE172","SAFE173","SAFE174","SAFE175","SAFE176","SAFE177","SAFE178","SAFE180","SAFE181","SAFE182","SAFE183","SAFE184","SAFE188","SAFE189","SAFE190","SAFE192","SAFE197","SAFE201","SAFE202","SAFE203","SAFE205","SAFE30","SAFE34","SAFE36","SAFE39","SAFE43","SAFE45","SAFE48","SAFE5","SAFE50","SAFE51","SAFE54","SAFE55","SAFE56","SAFE57","SAFE62","SAFE63","SAFE64","SAFE66","SAFE67","SAFE72","SAFE73","SAFE76","SAFE77","SAFE78","SAFE79","SAFE80","SAFE81","SAFE83","SAFE84","SAFE85","SAFE86","SAFE87","SAFE88","SAFE89","SAFE90","SAFE91","SAFE92","SAFE93","SAFE94","SAFE95","SAFE96","SAFE97","SAFE99"
"K55",0,0,0,0.6,0,0,0,0.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.8,0,4,0,0,0,0.088,1.607,0,0,0,0,1.607,0,0,0,-4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,4,0,0,0,0,0,0,45,0,4,0,0,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-4,0,45,0,-1.607,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607,0,4,4,0,0,45,0,0,1.607,0,0,4,0,0,0,1.607,0,0
"L55",2.243851946784,0.367855946784,-0.0489039999999998,0,0.372,0,-0.874,0,4.453096,4.615404,0,1.06,0.186,-0.688,0,-1.07176176,-2.071096,0,0.034596,0.049679856,0,1.06,0,1.06,-5.38960899933965,4,0,-3.139244053216,0.267096,-0.186,0.186,1.232755946784,0,4.186,0,0,0.186,4.186,0.186,0.372,1.232755946784,4.348308,1.246,0,0.744,0,0.186,0,-0.476904,0,-1.232755946784,5.604755946784,0.267096,0.372,0,0,1.064,0,0,0,0,1.622,0,0,1.232755946784,-4.372,0.186,0.267096,1.06621061837348,24.628,1.011096,0,0,1.06,0,0.8649,0,4.65,0,0.186,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0.267096,0,-0.453096,-0.049679856,-3.918904,1.118063856,4.8825,0.453096,0.372,0,4,0.198719424,-0.792904,0.28312176,0.186,0,0.186,25.186,0,4.186,0.2325,0,24.814,0.186,0.186,0,0.186,0.186,0,4,0,0,0,0,0.19716,0.186,0,-3.814,0.744,25,0,-1.25,4,4.65,-4.65,0,4.836,4.464,-0.162564,0,-0.186,0,0.358755946784,2.106755946784,-1.07742869748922,0.221659946784,1.24643460676952,1.418755946784,1.046755946784,0.229292606101824,0.172755946784,2.292755946784,-1.30672130359104,1.232755946784,2.097655946784,1.232755946784,0,1.232755946784,0,-1.06,1.327096,0.186,1.436,0,0.186,0.186,-0.778596,4.25,4.372,0.034596,0.081096,-0.186,1.06,0,0.744,0.081096,0.267096,0,0.778596,0,0,0.186,0,1.436,0,4,3.814,0,-0.186,25,0,0,1.436,0,0,3.814,0,0,0,1.25,0.186,0.186
"M55",-1.7556,0,-1.7556,0,-0.76,0,0,0,4.24,0,0,0,0,0,0,0,1.7556,0,0,0,0,1.15,0,0.38,0,5,0,-3.86,0,0,-0.38,0,0,5,0,0,-0.38,4.62,0.38,-0.38,0,0,0,0,0,0,0,0,1.7556,0.38,0,3.86,-0.38,0.38,0,0.129,1.8,0,0,0,0,1.8,0,0,0,-3.86,0,0,0,108,-1.7556,-0.38,1.9,0.38,0,0,0,0,0.38,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0,-4.24,0,0,-0.38,0,-0.1444,4.62,0,0,0,0,0,0,108,0,4.24,0,0,108,-0.38,0.38,1.93,0,0,0,5.38,0,0,0,0,0,0,0,-4.62,0,108,0,-1.8,4.24,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0,1.7556,0,-0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.38,1.8,0,0.38,0.38,1.6112,0,4.24,0,0.38,0.38,0,0,-1.7556,0.38,0,-0.38,0,0,0,0,0,1.8,0,4.62,5,0,0.38,108,0,0,1.8,0,0.38,5,0,0,0.38,1.8,0,0
"N55",51042.4373294249,48985.1286264249,397.274317,0.2,2.735,0,0.548,0,708.361317,2219.942151,0,0,1.467,2.015,14.14425654,-365.939658323,-399.112317,0,0.803916,12.501697716,0,0.62,0,0,-34829819.155885,685,0.45484,49956.5090124249,23.433317,0.0930000000000002,-0.282,50644.2440124249,0.62,685.548,0,0.62,0.548,685.747,0.658,2.015,50644.2440124249,2197.128834,0.548,0.109052,375.38,0,3.027,0,-352.566683,0,-50644.0440124249,51331.9790124249,23.533317,2.125,0.2,0,13.735,0,0,2.28852,0.93,17.018,0.31,0.62,50644.2440124249,-687.735,0.349,22.193317,84024644.4533524,1511.786,398.193317,-0.919,0,0.72,0.41,1659.115386,0,1130.958,0.83,0.548,0.747,0,0,0.31,1.14,0,0,0,0,0,0,0,0,22.093317,-16.42558824,-25.000317,-49.892724279,-662.734683,15639.623842716,2242.755468,23.361317,1.295,-1.4508,683.361,8563.66293546,22.813317,0,-0.172,0.62,0.0269999999999999,1514.747,0,685.548,7.827084,1.56,1513.253,0.548,1.378,0,1.467,0.548,0,685,0,0.39456,0.72,0,0,0.747,0.99216,-684.253,511.695,1514.72,-1.05624,-14.084,684.081,1130.238,-1131.678,-0.72,1132.425,1129.491,0.803916,0.199,-1.467,0,50644.7920124249,50643.6960124249,27753.0457188088,50246.0506954249,20166199.5102648,50644.7920124249,50643.6960124249,27753.0457188088,50643.3250124249,50645.1630124249,-46542.0602474184,50644.2440124249,52303.3593984249,50644.2440124249,0,50644.4440124249,10128.848802485,-0.919,22.813317,0.747,15.551,0.72,2.098,0.548,-1499.293476,1.87,687.015,1.029366,20.626317,-2.187,0,0,375.38,22.265317,22.813317,-0.631,1005.698916,-814.28976,0,0.747,0.53784,14.831,0,685,684.452,0.72,-0.548,1514,0,0.033,14.111,10.67832,0.72,684.452,0.1,0,0,14.283,0.548,1.268
"O55",-34.688610542592,0.528141457408,-35.579968,0,-1.904,0,-0.05,0,36.124432,18.575744,0,0.05,0.181,-0.034,0,2.343921888,35.447968,0,-0.01536,-0.04265472,0,0.17,0.165,0.28,-28.9997596234875,38,0,-34.310642542592,0.044432,0.034,-0.17,0.825357457408,0,38,0.73,0,-0.96,37.056,0.17,-0.944,0.825357457408,18.531312,0.05,0,0,0,0.066,0.05,35.602832,0.11,-0.825357457408,35.961357457408,-0.915568,0.186,0,0.182,2.777,0,0,8e-04,0,2.793,0,0.51,0.825357457408,-35.136,-0.016,0.044432,0.245309442060976,1160.968,-35.513968,-0.976,36.48,0.17,0,0.297216,0,18.576,0.17,0,0.016,0,1.02,0.05,0,0,0,0,0,0,0,0,0.091,1.004432,0.04265472,0.899568,0.041943808,-36.035568,1.60310656,18.620176,-0.915568,0.016,-0.90624,37.024,-1.5799308288,-0.005568,0.0022216,0,0,0.016,1161.016,0,36.08,0,0.05,1160.984,-0.96,0.17,0,0.016,0,0,38.96,0,0,0,0,0,0.016,0,-37.024,0.59264,1161,0.01536,-2.761,36.064,19.536,-17.616,0.96,18.592,18.56,-8e-04,0.016,0.149,0.00264,0.775357457408,0.875357457408,-0.0412678728704,36.339325457408,-29.3117183309491,-0.134642542592,1.785357457408,-0.79234315911168,0.759357457408,0.891357457408,-0.054473592188928,0.825357457408,1.122573457408,0.825357457408,0,0.825357457408,0,-0.066,0.094432,0.976,2.777,0,0.17,0.96,34.05952,0.22,36.096,0.00272,0.988432,0.944,0.28,0,-35.5584,1.004432,0.044432,-0.154,0.57728,17.83296,0,0.016,0,2.777,0,37.04,38,0,0.96,1161,0,0,2.777,0,0.96,38,0,0,0.96,2.777,0,0
"P55",-96.9004,0,-97.6804,0,-6.28,0,-0.78,0,27.72,0,0,0.78,0,-0.78,0,75.582312,96.1204,0.78,0,0,0,1.57,0,0,0,34,0,-24.58,0,0,-1.57,0,1.57,34,0,0,-3.14,30.86,1.57,-3.14,0.78,0,0.78,0,0,0,0,0,96.9004,0.78,0,24.58,-3.14,1.57,0,0.372,3.971,0.78,0,0,1.57,3.971,0,0,0,-24.58,0,0,0,139,-96.9004,-3.14,106.76,0,0,0,0,0,1.57,0,0,0.78,2.36,0,0,0.78,0.78,0,0.78,0,0,0,0,3.14,0,3.14,0,-27.72,0,0,-3.14,0,-9.8596,30.86,0,-0.78,0,0,0,0,139,0,27.72,0,0,139,-3.14,1.57,0.78,0,0,0,37.14,0,0,0,0,0,0,0,-30.86,0,139,0,-3.971,27.72,3.14,3.14,3.14,0,0,0,0,0,0,-0.78,0.78,0,96.9004,0,-3.14,3.14,0,-0.78,0.78,0,-0.78,0,0,0,0,0,-0.78,0.78,3.14,3.971,0,1.57,3.14,87.0408,1.57,27.72,0,3.14,3.14,0,0.78,-96.9004,3.14,0,-1.57,0,0,0,0,0,3.971,0,30.86,34,0,3.14,139,0,0,3.971,0,3.14,34,0.78,0.78,3.14,3.971,0,0
"Q55",8.130534806784,2.231094806784,1.446096,0,1.128,0,0.564,2.89,2.446096,7.577904,0,0,0.564,1.128,0,0,-1.446096,0,0.318096,0.497502144,0,0,0,0,-14.2244857808364,1,0,4.556438806784,0.882096,-0.564,0.564,6.684438806784,0,1.564,0,0,0.564,1.564,0.564,1.128,6.684438806784,6.695808,0.564,0,0.564,0,0.564,0,0.318096,0,-6.684438806784,8.812438806784,0.882096,1.128,0,0.188,0.436,0,0,0,0,2.128,0,0,6.684438806784,-2.128,0.564,0.882096,29.7681054535587,12.872,1.446096,0,0,0,0,4.453344,0,7.896,0,0.564,0.564,0,0,0,0,0,0,0,0,0,0,0,0,0.882096,0,-1.446096,-0.497502144,-0.681904,1.379598144,8.46,1.446096,1.128,0,1,0.497502144,0.882096,0,0.564,0,0.564,14.564,0,1.564,0.564,0,13.436,0.564,0.564,0,0.564,0.564,0,1,0,0,0,0,0,0.564,0,-0.436,0.564,14,0,-1,1,7.896,-7.896,0,8.46,7.332,0.318096,0,-0.564,0,7.248438806784,6.120438806784,3.77002348702618,5.238342806784,9.66634022073511,7.248438806784,6.120438806784,3.77002348702618,6.684438806784,6.684438806784,0,6.684438806784,11.137782806784,6.684438806784,0,6.684438806784,0,0,0.882096,0.564,1.564,0,0.564,0.564,-0.882096,4.34,2.128,0.318096,0.318096,-0.564,0,0,0.564,0.318096,0.882096,0,0.882096,0,0,0.564,0,1.564,0,1,0.436,0,-0.564,14,0,0,1.564,0,0,0.436,0,0,0,1,0.564,0.564
"R55",-23.803062375,4.860887625,-33.26645,0,-8.175,0,-1.325,0,4.05855,20.8275,0,1.4,0.301,-1.175,0,46.89238875,30.31645,0.46,-0.61875,-1.58214375,0,0,0.151,0,2.995645359375,12,0.0345,8.363387625,0.38355,-0.15,-0.385,7.988387625,0,12.075,0.46,0,-4.125,7.95,0.535,-3.975,8.448387625,20.44395,1.475,0.005625,0.9,0,0.15,0,32.55855,0.46,-7.988387625,7.613387625,-3.81645,0.685,0,0.227,2.407,0.46,0,0,0,2.707,0,0,7.988387625,0.375,0,0.38355,24.9836822971875,138.7,-31.79145,-4.275,50.4,0,0,3.1275,3.6746583075,20.85,0.46,0.075,0.15,0.46,2.8,0,0,0.46,0.46,0,0.46,0,0.46,0,0.075,4.58355,1.61091,3.66645,1.5533775,-3.29145,1.40954625,21.21105,-3.74145,0.225,-16.695,7.725,-12.34072125,-1.01645,0.53697,0.075,0,0.15,139.15,0,3.675,0.18615,0,138.85,-4.125,0.535,0.46,0.15,0.075,0,16.2,0.315,0,0,0,0.105,0.15,0,-7.65,1.17,139,0.63,-2.407,3.525,25.05,-16.65,4.2,21,20.7,-0.19875,0.075,0.001,0.02265,6.663387625,9.313387625,-10.584613603125,39.779837625,-253.962425760806,3.863387625,12.113387625,-32.952098953125,6.513387625,9.463387625,-11.782871746875,7.528387625,11.115887625,7.988387625,0,7.988387625,0,-1.475,1.78355,4.35,2.557,0,0.535,4.275,14.88375,0.93,3.825,0.08025,4.43355,4.05,0,0.46,-32.175,4.50855,0.38355,-0.385,0.55125,87.57,0,0.15,0,2.557,0,7.8,11.925,0,4.125,139,0,0,2.557,0,4.2,11.925,0.46,0,4.2,2.482,0.075,0.075
"S55",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,-3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-3,0,4,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,4,0,0,2,0,0,3,0,0,0,2,0,0
"T55",83354.9597803544,82351.9233093544,90.375321,0,13.722,4.27,0.881,0,99.259321,1023.105459,0,0,6.861,7.742,0,-576.20481958,-102.335321,0,6.044541,71.694300801,0,0.85,0,0,-2557870.84620029,17,3.76187,83227.8824593544,81.378321,-6.861,-3.389,83262.8744593544,0,17.881,0,0,0.881,17.881,-0.829000000000001,7.742,83258.6044593544,941.727138,0.881,0,14.977,0,6.861,0,66.401321,0,-83258.6044593544,83289.3264593544,87.358321,6.032,0,0.146,4.119,0,0,0,0,18.722,0,0,83258.6044593544,-30.722,0.881,81.378321,75489007.2386025,142.258,96.355321,-5.98,0,0,0,906.68115,0,132.15,4.27,0.881,0.881,0,0,0.85,0,0,0,0,0,0,0,0,0,75.398321,-486.64235958,-94.219321,-1044.979019961,63.497321,1455.125757801,1104.48378,82.259321,1.762,-46.29716,5.04,1218.803113617,81.378321,0,-5.099,0,-5.099,150.881,0,17.881,4.405,0,149.119,0.881,5.151,0,6.861,0.881,0,17,0,5.26838,5.98,0,0,0.881,30.80298,-16.119,14.977,155.98,-41.02878,-5,11.02,126.17,-138.13,-5.98,139.011,125.289,6.044541,0,-6.861,0,83259.4854593544,83257.7234593544,73350.8305286912,83162.2491383544,8022409.55869312,83259.4854593544,83257.7234593544,73350.8305286912,83252.6244593544,83264.5844593544,-497886.454666939,83258.6044593544,84165.2856093544,83254.3344593544,355514.241041443,83258.6044593544,0,-5.98,81.378321,0.881,11.861,5.98,11.131,0.881,-229.609921,3.41,24.742,4.538031,68.537321,-12.841,0,0,14.977,80.497321,81.378321,-4.27,122.681541,-790.257,0,0.881,5.26838,5.881,0,17,16.119,5.98,-0.881,150,0,0,-0.0990000000000002,35.16838,5.98,16.119,0,0,0,5,0.881,6.861
"U55",3955.56452444685,3734.66510544685,10.694957,0.12,2.397,0.61,0.104,0,60.391957,627.176771,0,0,1.313,1.417,3.08109893,-14.391884013,-13.112957,0.12,0.136552,0.653947528,0,2.58,0,1.59,-222410.6250223,54,0.17888,3887.26356744685,6.777957,-1.313,-1.616,3944.27056744685,0,54.104,0,0.49,0.104,54.333,0.844,1.417,3943.78056744685,620.888814,0.104,0.023816,5.616,0,1.313,0,0.671956999999999,0,-3943.66056744685,4000.05756744685,7.267957,2.157,0,0.041,3.601,0,0.73,0,1.35,6.102,0.61,0.24,3943.66056744685,-56.397,-0.125,5.797957,824207.162264736,476.354,11.903957,-1.209,0,0.36,0,208.995462,473.239268093621,159.174,1.72,0.104,0.333,0,0,0.73,0,0,0,0,0,0,0,0,0,5.307957,-6.16219786,-8.580957,-14.418285401,-47.816043,340.203625528,633.464728,6.391957,0.437,-1.38866,51.811,35.313166512,6.287957,0,-0.876,0,-0.647,478.333,0,54.104,0.38532,0,477.667,0.104,1.824,0,1.313,0.104,0,54,0,0.10192,0.98,0,0,0.333,1.78752,-53.667,17.982,478.98,-1.28674,-3.476,52.791,158.194,-160.154,-0.98,160.487,157.861,0.136552,0.229,-1.313,0,3943.76456744685,3943.55656744685,410.140699014472,3931.75661044685,46945.1658174829,3943.76456744685,3943.55656744685,410.140699014472,3942.45156744685,3944.86956744685,-4767.88562604324,3943.54056744685,4152.65602944685,3943.05056744685,2405.63294614258,3943.66056744685,0,-1.209,6.287957,0.333,4.789,0.98,2.804,0.104,-124.060472,4.55,55.417,0.607392,3.994957,-2.293,0,0,5.616,6.183957,6.287957,-1.491,71.038552,-155.99052,0,0.333,0.32634,3.809,0,54,53.896,0.98,-0.104,478,0,0.02,2.829,3.73282,0.98,53.896,0,0,0,3.705,0.104,1.084
"V55",2.836640625,0.577890625,1.13375,0,0.5,0,0.25,0,3.63375,4.4375,0,0,0.25,0.5,0,0,-1.13375,0,0.0625,0.0959375,0,0,0,0,-5.9601171875,3,0,-1.797109375,0.38375,-0.25,0.25,1.702890625,0,3.25,0,0,0.25,3.25,0.25,0.5,1.702890625,4.05375,0.25,0,0.75,0,0.25,1.75,-0.36625,0,-1.702890625,5.202890625,0.38375,0.5,0,0,1.035,0,0,0,0,1.785,0,0,1.702890625,-3.5,0.25,0.38375,1.915751953125,17.5,1.13375,0,0,0,0,1.125,0,4.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.38375,0,-0.63375,-0.0959375,-2.86625,1.2471875,4.82125,0.63375,0.5,0,3,0.2878125,0.38375,0,0.25,0,0.25,18.25,0,3.25,0.32125,0,17.75,0.25,0.25,0,0.25,0.25,0,3,0,0,0,0,0,0.25,0,-2.75,0.75,18,0,-1.285,3,4.5,-4.5,0,4.75,4.25,0.0625,0,-0.25,0,1.952890625,1.452890625,0.42572265625,0.569140625,1.93065224609375,1.952890625,1.452890625,0.42572265625,1.702890625,1.702890625,0,1.702890625,2.827890625,1.702890625,0,1.702890625,0,0,0.38375,0.25,1.535,0,0.25,0.25,-0.8125,1.75,3.5,0.0625,0.13375,-0.25,0,0,0.75,0.13375,0.38375,0,0.8125,0,0,0.25,0,1.535,0,3,2.75,0,-0.25,18,0,0,1.535,0,0,2.75,0,0,0,1.285,0.25,0.25
"W55",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.41,0,0,0,0.82,0,0,0,12,0,-12,0,0,0,0,0.82,12,0.41,0,0,12,0,0,0.41,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1.394,0,0,0,0,1.394,0,0,0,-12,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,-12,0,0,0,0,0,12,0,0,0,0,0,0,53,0,12,0,0,53,0,0,0.41,0,0,0,12,0,0,0,0,0,0,0,-12,0,53,0,-1.394,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41,0,0,0,0,0,0,0,0,1.394,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.394,0,12,12,0,0,53,0,0,1.394,0,0,12,0,0,0,1.394,0,0
"X55",0,0,0,0,0,0,0,0,5,0,3.7,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,5,0,-5,0,0,0,0,0,5,0,0,0,5,0,0,3.7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.888,0,0,0,0,1.888,0,0,0,-5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0,0,-5,0,0,0,0,0,5,0,0,0,0,0,0,17,0,5,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-5,0,17,0,-1.888,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,0,0,1.888,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.888,0,5,5,0,0,17,0,0,1.888,0,0,5,0,3.7,0,1.888,0,0
"Y55",-38.078832219913,0.514676780087,-39.139357,0.29,-3.918,0,0.031,0,18.111233,17.607039,0,0,0.072,0.062,0,0,39.139357,0,-0.060729,-0.117996447,0,0.51,0.041,0.07,-17.06596476116,22,0.00217,-15.031475219913,0.060233,0.039,-0.039,1.060524780087,0.14,22.031,0.07,0,-1.959,20.041,0.101,-1.928,1.060524780087,17.546806,0.031,0,0.682,0,0.101,0.07,39.259823,0.14,-1.060524780087,17.152524780087,-1.929767,0.132,0,0.031,1.881,0,0,0.00217,0.36,1.974,0.44,0,1.060524780087,-16.092,0.031,0.060233,0.578885330160929,567.938,-39.139357,-1.99,43.78,0.07,0,0.545848,0,17.608,0.07,0.031,0.031,0,0,0.22,0,0,0,0,0,0,0,0,0,2.050233,0.11986367,1.898767,0.117996447,-17.990767,1.087265883,17.667272,-1.898767,0.0619999999999998,-3.83672,20.01,-2.36110890447,0.060233,0,0.031,0.07,0.031,568.031,0,18.051,0.059272,0.07,567.969,-1.959,0.101,0.29,0.031,0.031,0,23.99,0.06169,0,0,0,0,0.031,0,-19.979,0.62031,568,0.06169,-1.912,18.02,19.598,-15.618,1.99,17.639,17.577,0.000961,0,0.01,0.001271,1.091524780087,1.029524780087,0.032876268182697,40.199881780087,-41.5082579751716,-0.898475219913,3.019524780087,-2.07756804419043,1.060524780087,1.060524780087,0,1.060524780087,1.606372780087,1.060524780087,0,1.060524780087,0,0,0.060233,2.021,1.943,0,0.101,2.021,35.361909,0.07,18.082,0.003131,2.019233,1.959,0,0.29,-39.19959,2.019233,0.060233,-0.07,0.559581,35.03992,0,0.031,0,1.943,0,20.01,21.969,0,1.959,568,0,0,1.943,0,1.99,21.969,0,0,1.99,1.912,0.031,0.031
"Z55",0,0,-2,0,0,0,-2,0,7,0,0,2,0,-2,0,0,-2,0,0,0,0,0,0,0,0,7,0,-7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0.341,3.166,0,0,0,0,3.166,0,0,0,-7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,7,0,-2,0,0,0,0,57,0,7,0,0,57,0,0,2,0,0,0,7,0,0,0,0,0,0,0,-7,0,57,0,-3.166,7,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,-2,2,0,3.166,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3.166,0,7,7,0,0,57,0,0.341,3.166,0,0,7,0,0,0,3.166,0,0
"A56",0,0,0,0,0,1.25,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,-55,0,1.25,-1.25,1.25,0,55,0,0,0,55,1.25,0,0,0,0,0,0,0,1.25,0,0,0,0,55,0,1.25,0,0,4.176,0,0,0,0,4.176,0,0,0,-55,0,0,0,71,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,0,0,0,0,55,0,0,0,0,0,0,71,0,55,0,1.25,71,0,1.25,0,0,0,0,55,0,0,0,0,0,0,0,-55,0,71,0,-4.176,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25,0,0,0,0,0,0,4.176,0,1.25,0,0,2.5,55,0,0,0,0,0,0,0,0,-1.25,0,0,0,0,0,4.176,0,55,55,0,0,71,0,0,4.176,0,0,55,0,0,0,4.176,0,0
"B56",191.090446661367,167.449303661367,5.759817,0.17,0.612,0,0.099,0,49.280817,156.671151,0,0,0.273,0.372,0.40181778,-1.032484158,-6.107817,0,0.048867,0.116999883,0,0.6,0,0.42,-8986.02155072547,48,0.31383,136.624629661367,1.521817,-0.193,-3.071,185.156629661367,0.42,48.099,0,0.34,0.099,48.113,3.109,0.452,185.156629661367,155.489334,0.099,0.001386,4.752,0,0.353,0.17,-3.570183,0,-185.156629661367,233.688629661367,1.341817,3.382,0,0.085,3.971,0,0,0.02184,0.08,4.602,0.17,0.08,185.156629661367,-48.532,0.085,0.841817,3278.6288024751,573.614,5.933817,-0.094,0,0.08,0,17.707326,0,64.862,3.17,0.099,0.113,0,0,0.17,0,0,0,0,0,0,0,0,0.028,1.021817,-0.18909072,-1.614817,-0.511726761,-46.917183,56.844215883,157.852968,1.280817,0.292,-0.07232,47.666,5.615994384,1.181817,0,0.019,0.08,-0.047,574.113,0.00792,48.099,0.40293,0.08,573.887,0.179,3.269,0,0.273,0.019,0.00792,48,0,0.00792,0,0.0064,0,0.033,0.52304,-47.887,5.424,574.16,-0.04368,-4.056,47.826,64.702,-65.022,-0.16,65.135,64.589,0.027027,0.014,-0.273,0,185.255629661367,185.057629661367,18.3305063364753,179.222812661367,1098.68555674732,185.255629661367,185.057629661367,18.3305063364753,184.982629661367,185.330629661367,-32.2172535610779,185.156629661367,202.863955661367,185.156629661367,0,185.156629661367,0,-0.174,1.181817,0.113,4.329,0.08,3.429,0.099,-20.826867,1.2,48.372,0.369397,0.748817,-0.433,0,0,4.752,1.082817,1.181817,-3.156,13.131027,-10.37792,0.00904,0.193,0.01808,4.169,0.08,48,47.901,0.16,-0.019,574,0,0,4.009,0.66704,0.16,47.901,0,0,0,4.07,0.179,0.179
